truck_brand,truck_model,truck_year,engine_model,transmission,axle_type,market_price_mex,ubication
International,ProStar,2014,Cummins ISX15,Allison 4000,40k,533000,Ciudad de México
Peterbilt,379,2020,Cummins X15,Eaton Fuller 18-speed,46k,929000,Puebla
Mack,Granite,2020,Mack MP7,Eaton Fuller 13-speed,46k,405000,Tlaxcala
Peterbilt,379,2009,Cummins X15,Eaton Fuller 13-speed,52k,430000,Veracruz
Mack,Pinnacle,2011,Mack MP10,Mack mDRIVE,52k,252000,Chiapas
Volvo,VNL670,2006,Cummins ISX15,Allison 4000,40k,264000,Tamaulipas
Freightliner,Cascadia,2020,Detroit DD15,Eaton Fuller 10-speed,52k,629000,Tamaulipas
Peterbilt,389,2016,Cummins X15,Eaton Fuller RTLO-16718B,46k,588000,Veracruz
Freightliner,M2 106,2021,Mercedes MBE4000,Eaton Fuller RTLO-16913A,46k,871000,Guanajuato
Mack,Pinnacle,2015,Mack MP10,Eaton Fuller 13-speed,52k,280000,Tamaulipas
Volvo,VNL670,2017,Detroit DD13,Volvo I-Shift,46k,456000,Sinaloa
International,ProStar,2008,Cummins ISC 8.3,Allison 4000,40k,373000,Sinaloa
Kenworth,W900,2007,Cummins X15,Eaton Fuller RT-8908LL,52k,395000,Morelos
Peterbilt,579,2004,PACCAR MX11,Eaton Fuller RTLO-16718B,40k,267000,Tamaulipas
International,LT625,2000,Cummins ISC 8.3,Eaton Fuller 18-speed,46k,222000,Tabasco
Peterbilt,579,2014,PACCAR MX11,Eaton Fuller 18-speed,40k,540000,Chiapas
Mack,Pinnacle,2008,Mack MP10,Eaton Fuller 18-speed,46k,211000,Durango
Peterbilt,379,2006,PACCAR MX13,Eaton Fuller 13-speed,40k,330000,Zacatecas
Volvo,VNM,2006,Volvo D13,Eaton Fuller 10-speed,52k,283000,Tlaxcala
Peterbilt,379,2021,Cummins X15,Eaton Fuller RTLO-16718B,46k,746000,Guerrero
International,9900i,2011,Cummins ISB 6.7,Allison 3000,46k,471000,Veracruz
Freightliner,FLD120,2006,Detroit DD13,Detroit DT12,40k,311000,Tabasco
International,ProStar,2008,Cummins ISX15,Eaton Fuller 18-speed,40k,405000,Veracruz
Peterbilt,389,2011,Cummins X15,Eaton Fuller 18-speed,46k,471000,Zacatecas
Kenworth,W900,2016,PACCAR MX11,Eaton Fuller RTLO-16913A,46k,623000,Oaxaca
Freightliner,FLD120,2016,Mercedes MBE4000,Detroit DT12,40k,531000,Tabasco
Freightliner,M2 106,2021,Mercedes MBE4000,Detroit DT12,40k,779000,Nuevo León
Freightliner,M2 106,2005,Cummins X15,Eaton Fuller 13-speed,52k,269000,Morelos
Volvo,VNL760,2005,Cummins ISX15,Eaton Fuller 10-speed,52k,231000,Michoacán
Kenworth,W900,2005,Cummins X15,Eaton Fuller 18-speed,52k,374000,Oaxaca
International,Durastar,2002,Cummins ISX15,Allison 3000,52k,217000,Oaxaca
Freightliner,M2 106,2000,Cummins ISX15,Eaton Fuller 10-speed,40k,238000,Sinaloa
Mack,Granite,2002,Mack MP10,Eaton Fuller 13-speed,40k,138000,Oaxaca
Freightliner,Cascadia,2015,Cummins X15,Allison 4500RDS,40k,508000,Zacatecas
Kenworth,T660,2002,Cummins ISX15,Eaton Fuller RT-8908LL,46k,247000,San Luis Potosí
International,Durastar,2016,Cummins ISB 6.7,Allison 3000,46k,573000,Baja California Sur
Kenworth,T800,2017,Cummins X15,Eaton UltraShift,46k,707000,Baja California
Volvo,VNL670,2003,Volvo D13,Allison 4000,40k,233000,Hidalgo
International,9900i,2007,Cummins ISX15,Eaton Fuller 10-speed,40k,392000,Michoacán
Peterbilt,389,2022,PACCAR MX11,Eaton UltraShift,52k,985000,Querétaro
Volvo,VNL760,2000,Detroit DD13,Allison 4000,40k,206000,Chiapas
Peterbilt,379,2016,Cummins X15,Eaton Fuller RTLO-16913A,46k,564000,Tlaxcala
Mack,Pinnacle,2008,Mack MP7,Mack mDRIVE,40k,199000,Hidalgo
Peterbilt,579,2019,Cummins ISX15,Eaton UltraShift,40k,732000,Zacatecas
Peterbilt,389,2009,Cummins ISX15,Eaton Fuller RTLO-16718B,52k,430000,Coahuila
Freightliner,M2 106,2014,Detroit DD15,Eaton Fuller 13-speed,46k,467000,Baja California
Kenworth,T660,2010,PACCAR MX11,Eaton Fuller 18-speed,46k,500000,Quintana Roo
Freightliner,FLD120,2017,Detroit DD13,Allison 4500RDS,46k,545000,Ciudad de México
Volvo,VNL670,2007,Cummins ISX15,Allison 4000,46k,269000,Guanajuato
International,LT625,2001,Cummins ISX15,Eaton Fuller 10-speed,46k,194000,Yucatán
Mack,Granite,2021,Mack MP7,Eaton Fuller 13-speed,46k,407000,Jalisco
